"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
"299","Bulls and Cows","/problems/bulls-and-cows","N","48.7%","Medium","13.4028%;"
"300","Longest Increasing Subsequence","/problems/longest-increasing-subsequence","N","51.6%","Medium","7.8055%;"
"301","Remove Invalid Parentheses","/problems/remove-invalid-parentheses","N","47.1%","Hard","8.33243%;"
"304","Range Sum Query 2D - Immutable","/problems/range-sum-query-2d-immutable","N","52.2%","Medium","17.6429%;"
"305","Number of Islands II","/problems/number-of-islands-ii","Y","39.4%","Hard","14.7215%;"
"307","Range Sum Query - Mutable","/problems/range-sum-query-mutable","N","40.7%","Medium","6.33026%;"
"309","Best Time to Buy and Sell Stock with Cooldown","/problems/best-time-to-buy-and-sell-stock-with-cooldown","N","54.6%","Medium","2.91471%;"
"310","Minimum Height Trees","/problems/minimum-height-trees","N","38.5%","Medium","3.63291%;"
"314","Binary Tree Vertical Order Traversal","/problems/binary-tree-vertical-order-traversal","Y","52.1%","Medium","13.3308%;"
"315","Count of Smaller Numbers After Self","/problems/count-of-smaller-numbers-after-self","N","42.8%","Hard","7.87321%;"
"316","Remove Duplicate Letters","/problems/remove-duplicate-letters","N","44.6%","Medium","12.4362%;"
"318","Maximum Product of Word Lengths","/problems/maximum-product-of-word-lengths","N","60.1%","Medium","16.843%;"
"322","Coin Change","/problems/coin-change","N","41.6%","Medium","33.9647%;"
"323","Number of Connected Components in an Undirected Graph","/problems/number-of-connected-components-in-an-undirected-graph","Y","62.1%","Medium","10.8714%;"
"324","Wiggle Sort II","/problems/wiggle-sort-ii","N","33.0%","Medium","13.6992%;"
"328","Odd Even Linked List","/problems/odd-even-linked-list","N","60.3%","Medium","9.06481%;"
"329","Longest Increasing Path in a Matrix","/problems/longest-increasing-path-in-a-matrix","N","52.2%","Hard","21.0655%;"
"332","Reconstruct Itinerary","/problems/reconstruct-itinerary","N","41.0%","Hard","5.10941%;"
"333","Largest BST Subtree","/problems/largest-bst-subtree","Y","42.5%","Medium","15.0606%;"
"336","Palindrome Pairs","/problems/palindrome-pairs","N","35.2%","Hard","11.2349%;"
"337","House Robber III","/problems/house-robber-iii","N","53.9%","Medium","30.4706%;"
"339","Nested List Weight Sum","/problems/nested-list-weight-sum","Y","82.2%","Medium","14.6484%;"
"340","Longest Substring with At Most K Distinct Characters","/problems/longest-substring-with-at-most-k-distinct-characters","Y","47.8%","Medium","29.4431%;"
"342","Power of Four","/problems/power-of-four","N","45.7%","Easy","1.98784%;"
"344","Reverse String","/problems/reverse-string","N","76.2%","Easy","2.67007%;"
"346","Moving Average from Data Stream","/problems/moving-average-from-data-stream","Y","77.1%","Easy","12.5469%;"
"347","Top K Frequent Elements","/problems/top-k-frequent-elements","N","64.8%","Medium","36.1359%;"
"348","Design Tic-Tac-Toe","/problems/design-tic-tac-toe","Y","57.6%","Medium","50.7365%;"
"349","Intersection of Two Arrays","/problems/intersection-of-two-arrays","N","70.3%","Easy","6.80981%;"
"350","Intersection of Two Arrays II","/problems/intersection-of-two-arrays-ii","N","55.6%","Easy","2.94567%;"
"353","Design Snake Game","/problems/design-snake-game","Y","39.1%","Medium","11.0501%;"
"354","Russian Doll Envelopes","/problems/russian-doll-envelopes","N","38.3%","Hard","14.9743%;"
"362","Design Hit Counter","/problems/design-hit-counter","Y","68.4%","Medium","22.9524%;"
"363","Max Sum of Rectangle No Larger Than K","/problems/max-sum-of-rectangle-no-larger-than-k","N","44.1%","Hard","25.9837%;"
"366","Find Leaves of Binary Tree","/problems/find-leaves-of-binary-tree","Y","80.1%","Medium","34.7751%;"
"367","Valid Perfect Square","/problems/valid-perfect-square","N","43.3%","Easy","11.6922%;"
"373","Find K Pairs with Smallest Sums","/problems/find-k-pairs-with-smallest-sums","N","38.3%","Medium","30.6958%;"
"377","Combination Sum IV","/problems/combination-sum-iv","N","52.1%","Medium","7.45367%;"
"378","Kth Smallest Element in a Sorted Matrix","/problems/kth-smallest-element-in-a-sorted-matrix","N","61.6%","Medium","13.5345%;"
"380","Insert Delete GetRandom O(1)","/problems/insert-delete-getrandom-o1","N","52.0%","Medium","33.9317%;"
"381","Insert Delete GetRandom O(1) - Duplicates allowed","/problems/insert-delete-getrandom-o1-duplicates-allowed","N","35.7%","Hard","11.8533%;"
"383","Ransom Note","/problems/ransom-note","N","57.6%","Easy","19.8147%;"
"387","First Unique Character in a String","/problems/first-unique-character-in-a-string","N","59.0%","Easy","20.4803%;"
"390","Elimination Game","/problems/elimination-game","N","46.5%","Medium","8.13372%;"
"392","Is Subsequence","/problems/is-subsequence","N","49.0%","Easy","4.13721%;"
"394","Decode String","/problems/decode-string","N","57.6%","Medium","24.2782%;"
"395","Longest Substring with At Least K Repeating Characters","/problems/longest-substring-with-at-least-k-repeating-characters","N","44.8%","Medium","4.36651%;"
"397","Integer Replacement","/problems/integer-replacement","N","35.1%","Medium","10.5314%;"
"399","Evaluate Division","/problems/evaluate-division","N","59.6%","Medium","50.8975%;"
"402","Remove K Digits","/problems/remove-k-digits","N","30.5%","Medium","10.9156%;"
"403","Frog Jump","/problems/frog-jump","N","43.1%","Hard","15.4166%;"
"406","Queue Reconstruction by Height","/problems/queue-reconstruction-by-height","N","72.8%","Medium","9.76992%;"
"407","Trapping Rain Water II","/problems/trapping-rain-water-ii","N","47.5%","Hard","19.8963%;"
"409","Longest Palindrome","/problems/longest-palindrome","N","54.6%","Easy","5.31245%;"
"410","Split Array Largest Sum","/problems/split-array-largest-sum","N","53.3%","Hard","18.7251%;"
"412","Fizz Buzz","/problems/fizz-buzz","N","68.9%","Easy","4.82002%;"
"414","Third Maximum Number","/problems/third-maximum-number","N","32.6%","Easy","6.44907%;"
"415","Add Strings","/problems/add-strings","N","52.6%","Easy","4.02748%;"
"416","Partition Equal Subset Sum","/problems/partition-equal-subset-sum","N","46.6%","Medium","5.05328%;"
"417","Pacific Atlantic Water Flow","/problems/pacific-atlantic-water-flow","N","54.0%","Medium","23.3085%;"
"419","Battleships in a Board","/problems/battleships-in-a-board","N","74.7%","Medium","6.05172%;"
"420","Strong Password Checker","/problems/strong-password-checker","N","14.3%","Hard","31.9628%;"
"421","Maximum XOR of Two Numbers in an Array","/problems/maximum-xor-of-two-numbers-in-an-array","N","54.5%","Medium","10.5314%;"
"424","Longest Repeating Character Replacement","/problems/longest-repeating-character-replacement","N","51.5%","Medium","19.8963%;"
"432","All O`one Data Structure","/problems/all-oone-data-structure","N","36.7%","Hard","22.5746%;"
"433","Minimum Genetic Mutation","/problems/minimum-genetic-mutation","N","52.0%","Medium","4.96245%;"
